cr,x,y,method,r,n
2284,pfss_global_abs_mean,pdyn_mean,pearson,0.033583313895904174,36
2284,pfss_global_abs_mean,pdyn_mean,spearman,-0.0501930501930502,36
2284,pfss_global_abs_mean,ma_mean,pearson,-0.3164247615070093,36
2284,pfss_global_abs_mean,ma_mean,spearman,-0.23963963963963963,36
2286,pfss_equator_abs_mean,speed_mean,pearson,0.12722939775670805,36
2286,pfss_equator_abs_mean,speed_mean,spearman,0.0807001739234634,36
2286,pfss_equator_abs_mean,bmag_mean,pearson,0.5040134802498106,36
2286,pfss_equator_abs_mean,bmag_mean,spearman,0.5510939510939512,36
2286,pfss_equator_abs_mean,density_mean,pearson,0.3573134608572096,36
2286,pfss_equator_abs_mean,density_mean,spearman,0.2628056628056628,36
2286,pfss_equator_abs_mean,pdyn_mean,pearson,0.42199037148254237,36
2286,pfss_equator_abs_mean,pdyn_mean,spearman,0.4481338481338482,36
2286,pfss_equator_abs_mean,ma_mean,pearson,-0.36966290715001876,36
2286,pfss_equator_abs_mean,ma_mean,spearman,-0.3284427284427285,36
2286,pfss_midlat_abs_mean,speed_mean,pearson,-0.009620261399491563,36
2286,pfss_midlat_abs_mean,speed_mean,spearman,-0.10348156273439327,36
2286,pfss_midlat_abs_mean,bmag_mean,pearson,0.4733622566505748,36
2286,pfss_midlat_abs_mean,bmag_mean,spearman,0.48725868725868726,36
2286,pfss_midlat_abs_mean,density_mean,pearson,0.4044080916694031,36
2286,pfss_midlat_abs_mean,density_mean,spearman,0.33204633204633205,36
2286,pfss_midlat_abs_mean,pdyn_mean,pearson,0.402813437475716,36
2286,pfss_midlat_abs_mean,pdyn_mean,spearman,0.45559845559845563,36
2286,pfss_midlat_abs_mean,ma_mean,pearson,-0.31575137148906807,36
2286,pfss_midlat_abs_mean,ma_mean,spearman,-0.2522522522522523,36
2286,pfss_global_abs_mean,speed_mean,pearson,-0.26231097708244094,36
2286,pfss_global_abs_mean,speed_mean,spearman,-0.3751850191178561,36
2286,pfss_global_abs_mean,bmag_mean,pearson,0.36659631608250964,36
2286,pfss_global_abs_mean,bmag_mean,spearman,0.3057915057915058,36
2286,pfss_global_abs_mean,density_mean,pearson,0.4054448907463589,36
2286,pfss_global_abs_mean,density_mean,spearman,0.3763191763191764,36
2286,pfss_global_abs_mean,pdyn_mean,pearson,0.2750833905405078,36
2286,pfss_global_abs_mean,pdyn_mean,spearman,0.3688545688545689,36
2286,pfss_global_abs_mean,ma_mean,pearson,-0.18805890525203747,36
2286,pfss_global_abs_mean,ma_mean,spearman,-0.1588159588159588,36
2287,pfss_equator_abs_mean,speed_mean,pearson,-0.11087723451854657,34
2287,pfss_equator_abs_mean,speed_mean,spearman,-0.12146676852559204,34
2287,pfss_equator_abs_mean,bmag_mean,pearson,0.10268438249169153,34
2287,pfss_equator_abs_mean,bmag_mean,spearman,0.01390374331550802,34
2287,pfss_equator_abs_mean,density_mean,pearson,-0.025022961233547924,34
2287,pfss_equator_abs_mean,density_mean,spearman,-0.12391138273491215,34
2287,pfss_equator_abs_mean,pdyn_mean,pearson,-0.05682452617643559,34
2287,pfss_equator_abs_mean,pdyn_mean,spearman,-0.15110771581359816,34
2287,pfss_equator_abs_mean,ma_mean,pearson,-0.29480017966977484,34
2287,pfss_equator_abs_mean,ma_mean,spearman,-0.3760122230710466,34
2287,pfss_midlat_abs_mean,speed_mean,pearson,-0.1443346528130446,34
2287,pfss_midlat_abs_mean,speed_mean,spearman,-0.1284950343773873,34
2287,pfss_midlat_abs_mean,bmag_mean,pearson,0.062001488499165605,34
2287,pfss_midlat_abs_mean,bmag_mean,spearman,-0.0346829640947288,34
2287,pfss_midlat_abs_mean,density_mean,pearson,-0.067699989674139,34
2287,pfss_midlat_abs_mean,density_mean,spearman,-0.18013750954927424,34
2287,pfss_midlat_abs_mean,pdyn_mean,pearson,-0.09679767278235661,34
2287,pfss_midlat_abs_mean,pdyn_mean,spearman,-0.2213903743315508,34
2287,pfss_midlat_abs_mean,ma_mean,pearson,-0.31970355404211837,34
2287,pfss_midlat_abs_mean,ma_mean,spearman,-0.37203972498090143,34
2287,pfss_global_abs_mean,speed_mean,pearson,-0.10387031613972934,34
2287,pfss_global_abs_mean,speed_mean,spearman,-0.14438502673796788,34
2287,pfss_global_abs_mean,bmag_mean,pearson,0.03559614255203565,34
2287,pfss_global_abs_mean,bmag_mean,spearman,-0.03101604278074866,34
2287,pfss_global_abs_mean,density_mean,pearson,-0.13369418658635426,34
2287,pfss_global_abs_mean,density_mean,spearman,-0.22352941176470587,34
2287,pfss_global_abs_mean,pdyn_mean,pearson,-0.12004939848864762,34
2287,pfss_global_abs_mean,pdyn_mean,spearman,-0.280061115355233,34
2287,pfss_global_abs_mean,ma_mean,pearson,-0.36603705075752113,34
2287,pfss_global_abs_mean,ma_mean,spearman,-0.4203208556149732,34
2290,pfss_equator_abs_mean,speed_mean,pearson,-0.16704578654734414,36
2290,pfss_equator_abs_mean,speed_mean,spearman,-0.15921230485378665,36
2290,pfss_equator_abs_mean,bmag_mean,pearson,0.2444154503582314,36
2290,pfss_equator_abs_mean,bmag_mean,spearman,0.11480051480051481,36
2290,pfss_equator_abs_mean,density_mean,pearson,0.3375865183310245,36
2290,pfss_equator_abs_mean,density_mean,spearman,0.33256113256113257,36
2290,pfss_equator_abs_mean,pdyn_mean,pearson,0.3667548024546701,36
2290,pfss_equator_abs_mean,pdyn_mean,spearman,0.2839124839124839,36
2290,pfss_equator_abs_mean,ma_mean,pearson,0.15811609900138363,36
2290,pfss_equator_abs_mean,ma_mean,spearman,0.04890604890604891,36
2290,pfss_midlat_abs_mean,speed_mean,pearson,-0.16732383772574613,36
2290,pfss_midlat_abs_mean,speed_mean,spearman,-0.15625201139247935,36
2290,pfss_midlat_abs_mean,bmag_mean,pearson,0.2841828053052169,36
2290,pfss_midlat_abs_mean,bmag_mean,spearman,0.13204633204633207,36
2290,pfss_midlat_abs_mean,density_mean,pearson,0.3617182699853338,36
2290,pfss_midlat_abs_mean,density_mean,spearman,0.3562419562419563,36
2290,pfss_midlat_abs_mean,pdyn_mean,pearson,0.38726869200438296,36
2290,pfss_midlat_abs_mean,pdyn_mean,spearman,0.3052767052767053,36
2290,pfss_midlat_abs_mean,ma_mean,pearson,0.13424733422799706,36
2290,pfss_midlat_abs_mean,ma_mean,spearman,0.03552123552123552,36
2290,pfss_global_abs_mean,speed_mean,pearson,-0.1373678186748293,36
2290,pfss_global_abs_mean,speed_mean,spearman,-0.10180835338669784,36
2290,pfss_global_abs_mean,bmag_mean,pearson,0.35497288687099227,36
2290,pfss_global_abs_mean,bmag_mean,spearman,0.20797940797940798,36
2290,pfss_global_abs_mean,density_mean,pearson,0.34410852669120884,36
2290,pfss_global_abs_mean,density_mean,spearman,0.3305019305019305,36
2290,pfss_global_abs_mean,pdyn_mean,pearson,0.3736532288772081,36
2290,pfss_global_abs_mean,pdyn_mean,spearman,0.2962676962676963,36
2290,pfss_global_abs_mean,ma_mean,pearson,0.05348497414443246,36
2290,pfss_global_abs_mean,ma_mean,spearman,-0.05997425997425997,36
