rss,cr,x,y,method,r,n
2.0,2283,radial_expansion_proxy_global_mean,speed_mean,spearman,0.09240669240669241,36
2.0,2283,radial_expansion_proxy_global_mean,bmag_mean,spearman,-0.4285714285714286,36
2.0,2284,expansion_speed_proxy_equator_mean,speed_mean,spearman,0.03423423423423424,36
2.0,2284,expansion_speed_proxy_equator_mean,bmag_mean,spearman,0.2818532818532819,36
2.0,2284,expansion_speed_proxy_midlat_mean,speed_mean,spearman,0.16911196911196916,36
2.0,2284,expansion_speed_proxy_midlat_mean,bmag_mean,spearman,0.380952380952381,36
2.0,2284,expansion_speed_proxy_global_mean,speed_mean,spearman,0.015444015444015444,36
2.0,2284,expansion_speed_proxy_global_mean,bmag_mean,spearman,0.338996138996139,36
2.0,2284,radial_expansion_proxy_equator_mean,speed_mean,spearman,0.023938223938223938,36
2.0,2284,radial_expansion_proxy_equator_mean,bmag_mean,spearman,-0.1994851994851995,36
2.0,2284,radial_expansion_proxy_midlat_mean,speed_mean,spearman,-0.14182754182754184,36
2.0,2284,radial_expansion_proxy_midlat_mean,bmag_mean,spearman,-0.3485199485199485,36
2.0,2284,radial_expansion_proxy_global_mean,speed_mean,spearman,0.014671814671814673,36
2.0,2284,radial_expansion_proxy_global_mean,bmag_mean,spearman,-0.32741312741312745,36
2.0,2286,expansion_speed_proxy_equator_mean,speed_mean,spearman,-0.15303430110844973,36
2.0,2286,expansion_speed_proxy_equator_mean,bmag_mean,spearman,0.4862290862290863,36
2.0,2286,expansion_speed_proxy_midlat_mean,speed_mean,spearman,0.006178003745336912,36
2.0,2286,expansion_speed_proxy_midlat_mean,bmag_mean,spearman,0.4831402831402832,36
2.0,2286,expansion_speed_proxy_global_mean,speed_mean,spearman,-0.35420554806598287,36
2.0,2286,expansion_speed_proxy_global_mean,bmag_mean,spearman,0.32689832689832693,36
2.0,2286,radial_expansion_proxy_equator_mean,speed_mean,spearman,0.2206062170730722,36
2.0,2286,radial_expansion_proxy_equator_mean,bmag_mean,spearman,-0.5431145431145432,36
2.0,2286,radial_expansion_proxy_midlat_mean,speed_mean,spearman,-0.021108179463234445,36
2.0,2286,radial_expansion_proxy_midlat_mean,bmag_mean,spearman,-0.4702702702702703,36
2.0,2286,radial_expansion_proxy_global_mean,speed_mean,spearman,0.35587875741367836,36
2.0,2286,radial_expansion_proxy_global_mean,bmag_mean,spearman,-0.35083655083655085,36
2.0,2287,expansion_speed_proxy_equator_mean,speed_mean,spearman,0.07746371275783039,34
2.0,2287,expansion_speed_proxy_equator_mean,bmag_mean,spearman,0.10802139037433155,34
2.0,2287,expansion_speed_proxy_midlat_mean,speed_mean,spearman,-0.11963330786860198,34
2.0,2287,expansion_speed_proxy_midlat_mean,bmag_mean,spearman,-0.08724216959511077,34
2.0,2287,expansion_speed_proxy_global_mean,speed_mean,spearman,-0.10557677616501145,34
2.0,2287,expansion_speed_proxy_global_mean,bmag_mean,spearman,0.08999236058059586,34
2.0,2287,radial_expansion_proxy_equator_mean,speed_mean,spearman,-0.05546218487394957,34
2.0,2287,radial_expansion_proxy_equator_mean,bmag_mean,spearman,-0.13460656990068756,34
2.0,2287,radial_expansion_proxy_midlat_mean,speed_mean,spearman,0.1016042780748663,34
2.0,2287,radial_expansion_proxy_midlat_mean,bmag_mean,spearman,0.04201680672268907,34
2.0,2287,radial_expansion_proxy_global_mean,speed_mean,spearman,0.10404889228418639,34
