rss,cr,ballistic_phase10_deg,n,bx_gse_mean,bmag_mean,pfss_equator_signed_mean,pfss_global_signed_mean,omni_radial_polarity_proxy,pfss_equator_polarity_proxy,pfss_global_polarity_proxy
2.0,2287,90.0,24,2.2708333283662796,5.404166638851166,0.10331321294481412,0.12291017179452048,-1.0,1.0,1.0
2.0,2287,100.0,23,2.5478260850776797,5.88695652588554,-0.0629418167213979,0.046426787893602044,-1.0,-1.0,1.0
2.0,2287,110.0,11,2.7818181948228315,6.463636311617765,-0.07595083799980439,0.04179368769670066,-1.0,-1.0,1.0
2.0,2287,120.0,22,1.1636363613334568,5.1954545757987285,0.05254109836800729,0.1009635486922603,-1.0,1.0,1.0
2.0,2287,130.0,8,0.4375000102445483,7.275000035762787,0.21448084937606587,0.16790022449302866,-1.0,1.0,1.0
2.0,2287,140.0,9,0.5999999377462599,10.133333312140572,0.29749840090276797,0.19301038876645274,-1.0,1.0,1.0
2.0,2287,150.0,13,-0.10000004218174861,17.58461541395921,0.1935644300213233,0.11645965050733534,1.0,1.0,1.0
2.0,2287,160.0,12,-2.85833332935969,19.53333322207133,-0.044198646340078716,-0.005496606128663433,1.0,-1.0,-1.0
2.0,2287,170.0,37,-6.267567594309111,16.702702599602777,-0.28665295676960134,-0.12371390217461911,1.0,-1.0,-1.0
2.0,2287,180.0,14,-1.8999999899949347,5.0071428673607965,-0.2933634412112886,-0.13350264010524618,1.0,-1.0,-1.0
2.0,2287,190.0,36,1.4888888698899083,7.2222222619586525,-0.16835579216226526,-0.08590832531976215,-1.0,-1.0,-1.0
2.0,2287,200.0,28,-1.4642856802259172,5.746428566319602,0.04183777505481791,-0.01048492436370195,1.0,1.0,-1.0
2.0,2287,210.0,10,-2.5700000166893004,5.869999980926513,0.032102048636917555,-0.02854353595335543,1.0,1.0,-1.0
2.0,2287,220.0,1,-2.700000047683716,12.300000190734863,-0.2658876784964267,-0.1910209804257109,1.0,-1.0,-1.0
2.0,2287,230.0,2,-1.800000011920929,17.899999618530273,-0.4577433257835104,-0.293852104521593,1.0,-1.0,-1.0
2.0,2287,240.0,38,0.6500000985045183,10.9000000326257,-0.5892077781595653,-0.3660815658072057,-1.0,-1.0,-1.0
2.0,2287,250.0,38,-3.584210515022278,6.742105308331941,-0.622129785041723,-0.38125538758856586,1.0,-1.0,-1.0
2.0,2287,260.0,14,-2.8285713962146213,6.007142918450492,-0.5369179352241004,-0.3261860121495941,1.0,-1.0,-1.0
2.0,2287,270.0,19,-3.6105263139072217,7.221052671733656,-0.3593274677981275,-0.21550919014429173,1.0,-1.0,-1.0
2.0,2287,280.0,12,-1.3416666487852733,8.416666706403097,-0.06101053601956998,-0.03820642106708822,1.0,-1.0,-1.0
2.0,2287,290.0,6,1.1999999781449635,8.96666661898295,0.1589646832052144,0.08523101748807303,-1.0,1.0,1.0
2.0,2287,310.0,28,-0.778571430593729,6.2607143095561435,0.3907217940442721,0.20325105091776807,1.0,1.0,1.0
2.0,2287,320.0,37,-1.5162162063895046,4.80810809135437,0.2781920325741614,0.13604595410972167,1.0,1.0,1.0
2.0,2287,330.0,6,-3.5,7.350000063578288,0.16212538448045904,0.06750706503173715,1.0,1.0,1.0
2.0,2287,350.0,25,-2.9120000076293944,9.83199993133545,-0.1189631854184146,-0.10402929292844242,1.0,-1.0,-1.0
2.0,2290,0.0,56,-0.19999998395464247,4.164285698107311,-0.34558167006728496,-0.188314970967672,1.0,-1.0,-1.0
2.0,2290,10.0,21,-2.366666643392472,6.214285759698777,-0.269791437064339,-0.13385093853270644,1.0,-1.0,-1.0
2.0,2290,20.0,11,-3.7181818051771685,8.109090935100209,-0.02714044684197787,0.009366341519521981,1.0,-1.0,1.0
2.0,2290,30.0,6,-6.266666650772095,8.033333460489908,0.14301486058469562,0.11410137424636928,1.0,1.0,1.0
2.0,2290,40.0,37,-1.3324324144302189,4.959459453015714,0.25667118271289846,0.1965411055340657,1.0,1.0,1.0
2.0,2290,50.0,21,4.038095224471319,5.97142862138294,0.3117474078688926,0.24239660807873392,-1.0,1.0,1.0
2.0,2290,60.0,11,4.445454548705708,7.636363679712469,0.3679174760723333,0.2813612279325099,-1.0,1.0,1.0
2.0,2290,70.0,2,7.0,13.300000190734863,0.409119162938575,0.30688411210720723,-1.0,1.0,1.0
2.0,2290,80.0,4,11.774999856948853,21.924999713897705,0.3400606830202967,0.27574328584280683,-1.0,1.0,1.0
2.0,2290,90.0,28,8.557142836706978,13.05357141154153,0.2481994786633017,0.2283171966605063,-1.0,1.0,1.0
2.0,2290,100.0,5,3.780000019073486,6.519999980926514,0.17340069053634297,0.18792512243322923,-1.0,1.0,1.0
2.0,2290,110.0,13,4.999999963320219,11.253846205197847,-0.02633183827835482,0.06952266432653514,-1.0,-1.0,1.0
2.0,2290,120.0,25,5.132000041007996,7.144000015258789,-0.040850076455714014,0.0549976972396147,-1.0,-1.0,1.0
2.0,2290,130.0,12,4.866666615009308,6.858333230018616,0.027822685261047215,0.07986402402576849,-1.0,1.0,1.0
2.0,2290,140.0,15,5.166666666666667,7.620000012715658,0.1859989078773623,0.15127742339400463,-1.0,1.0,1.0
