cr,rss,lon_deg,equator_signed_br,equator_abs_br,midlat_signed_br,midlat_abs_br,global_signed_br,global_abs_br,equator_polarity,global_polarity,lon_bin,photo_equator_abs_br,photo_midlat_abs_br,photo_global_abs_br,photo_equator_signed_br,photo_midlat_signed_br,photo_global_signed_br,hmi_file,radial_expansion_proxy_equator,log_radial_expansion_proxy_equator,expansion_speed_proxy_equator,radial_expansion_proxy_midlat,log_radial_expansion_proxy_midlat,expansion_speed_proxy_midlat,radial_expansion_proxy_global,log_radial_expansion_proxy_global,expansion_speed_proxy_global
2281,2.0,223.0,-0.2098508568575663,0.2098508568575663,-0.2318135046726395,0.2318135046726395,-0.1993507323003752,0.2058106704016382,-1.0,-1.0,223,1.5150000000000001,80.28999999999999,21.13763888888889,1.3350000000000002,-7.743749999999999,-1.7987500000000007,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,1.804853245164836,0.25644189465928774,-0.25644189465928774,86.5890019149049,1.9374627336917958,-1.9374627336917958,25.676072634668216,1.4095285955833177,-1.4095285955833177
2281,2.0,224.0,-0.2040896839503629,0.2040896839503629,-0.226909224787867,0.226909224787867,-0.1970107346421814,0.2032416021629482,-1.0,-1.0,224,2.1125000000000003,89.914375,24.296111111111106,0.1625000000000001,37.86687499999999,7.244999999999996,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,2.587710411313325,0.4129156731536901,-0.4129156731536901,99.06425695568261,1.9959169864027433,-1.9959169864027433,29.88575032442397,1.4754641638895036,-1.4754641638895036
2281,2.0,225.0,-0.1982245190625781,0.1982245190625781,-0.2218540661925265,0.2218540661925265,-0.1945246765707299,0.2005344331312493,-1.0,-1.0,225,9.785,145.26375000000002,37.27250000000001,-8.725000000000001,79.6175,15.722777777777775,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,12.34080431406034,1.091343465837801,-1.091343465837801,163.69290914183551,2.2140298670278775,-2.2140298670278775,46.46645892429512,1.667139577401712,-1.667139577401712
2281,2.0,226.0,-0.1923182655107047,0.1923182655107047,-0.2167074429305748,0.2167074429305748,-0.1919278425541902,0.1977382549877428,-1.0,-1.0,226,3.0425,161.18375,39.43444444444445,-2.0825,128.00875000000002,27.298888888888904,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,3.9550325497172425,0.5971500620699572,-0.5971500620699572,185.94625526041278,2.269387436601338,-2.269387436601338,49.85687322729847,1.6977250382529705,-1.6977250382529705
2281,2.0,227.0,-0.186430096234082,0.186430096234082,-0.2115255081590187,0.2115255081590187,-0.1892538415435852,0.1948804861656744,-1.0,-1.0,227,7.047499999999999,147.205625,37.63333333333334,-6.1274999999999995,120.646875,23.934444444444438,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,9.45059320136694,0.9754590694610923,-0.9754590694610923,173.9809376670249,2.2405016671358444,-2.2405016671358444,48.277452085864546,1.6837443414947264,-1.6837443414947264
2281,2.0,228.0,-0.1806145756468564,0.1806145756468564,-0.206360316414082,0.206360316414082,-0.1865341173751237,0.1919840602545353,-1.0,-1.0,228,2.8750000000000004,48.205625000000005,15.846111111111112,-1.3250000000000002,27.579375,3.6136111111111107,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,3.97946842011978,0.5998250626195816,-0.5998250626195816,58.39982444016845,1.7664115415510864,-1.7664115415510864,20.63467025609067,1.3145975332035253,-1.3145975332035253
2281,2.0,229.0,-0.1749209232910531,0.1749209232910531,-0.2012591182632018,0.2012591182632018,-0.1837975316071028,0.1890779129493232,-1.0,-1.0,229,2.0875000000000004,73.14874999999999,21.208194444444445,-0.7975,50.36875,9.215416666666671,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,2.9834909979959674,0.4747247317974872,-0.4747247317974872,90.86389554824768,1.9583913521004583,-1.9583913521004583,28.04160744323516,1.447802905290261,-1.447802905290261
2281,2.0,230.0,-0.1693924336721313,0.1693924336721313,-0.1962638012015476,0.1962638012015476,-0.1810700267798487,0.1861998698091578,-1.0,-1.0,230,3.9750000000000005,22.878749999999997,8.866944444444442,-0.3599999999999998,-1.3012499999999994,-1.1972222222222222,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,5.866554830444551,0.768383134063165,-0.768383134063165,29.142854999156604,1.4645320954656544,-1.4645320954656544,11.905143185025395,1.0757346231001987,-1.0757346231001987
2281,2.0,231.0,-0.1640660601750213,0.1640660601750213,-0.1914104844852591,0.1914104844852591,-0.1783743747347125,0.1833647998213282,-1.0,-1.0,231,2.7024999999999997,9.039375,5.590694444444443,-0.32250000000000006,0.25562499999999916,-0.7920833333333336,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,4.118005876896546,0.6146869620736394,-0.6146869620736394,11.806269421851,1.0721126897007023,-1.0721126897007023,7.622365974674597,0.8820897968326322,-0.8820897968326322
2281,2.0,232.0,-0.1589721645431504,0.1589721645431504,-0.186729269476195,0.186729269476195,-0.17573001130022,0.1805871280851025,-1.0,-1.0,232,2.1175,11.083749999999998,7.208472222222219,1.1075000000000002,4.367500000000001,-0.5159722222222217,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,3.329985482183642,0.5224423401065368,-0.5224423401065368,14.83933133660789,1.171414331983169,-1.171414331983169,9.979216540318967,0.9990964465406406,-0.9990964465406406
