rss,cr,ballistic_phase10_deg,n,bmag_mean,br_rtn_mean,bt_rtn_mean,bn_rtn_mean,btan_rtn_mean,rtn_spiral_angle_mean_deg,pfss_equator_signed_mean,pfss_global_signed_mean,omni_rtn_radial_polarity,pfss_equator_polarity,pfss_global_polarity
2.0,2283,250.0,3,18.233333269755047,-6.866666793823242,9.800000111262003,-7.266666730244954,15.640188478578757,131.87594234128642,-0.20340196287673526,-0.1296895978173887,-1.0,-1.0,-1.0
2.0,2283,260.0,5,19.41999969482422,-3.4,13.839999961853028,-0.26000003814697303,17.363295459809997,104.07007317899888,-0.12096046423287818,-0.0761918639358693,-1.0,-1.0,-1.0
2.0,2283,270.0,26,4.173076895567087,2.5038461731030393,1.7807692206249788,0.9461538482170838,2.4785453917853153,38.19476264970326,-0.012550502110990954,-0.004451610580080908,1.0,-1.0,-1.0
2.0,2283,280.0,25,4.792000012397766,2.4080000004172324,1.0639999908208848,0.7519999772310257,3.348501358937686,20.627367141120185,0.03100610921754917,0.02597538030818588,1.0,1.0,1.0
2.0,2283,290.0,9,8.433333343929714,-0.866666661368476,-2.4333333199222884,-4.966666758060455,6.786080258736337,5.599361517298468,0.07996375508904978,0.06428929221813345,-1.0,1.0,1.0
2.0,2283,300.0,10,7.940000009536743,2.1600000143051146,-5.050000017881393,-3.539999966323376,6.935892754347253,-42.23663021328956,0.07963410850886296,0.06832957123620412,1.0,1.0,1.0
2.0,2283,310.0,10,7.030000019073486,2.8600000217556953,-4.250000023841858,1.3300000131130219,5.029062907188755,-58.24123099910922,0.03757245599671103,0.04821669517255825,1.0,1.0,1.0
2.0,2283,320.0,19,6.357894746880782,2.3736842102126072,-3.3526315265580227,-1.3368420867543471,3.9588116994578146,-58.34253975386502,-0.01010877786870058,0.022078661069016087,1.0,-1.0,1.0
2.0,2283,330.0,16,5.924999982118607,1.8499999977648258,-2.7562499954365194,0.725000006146729,3.9255265005194264,-43.49130449029181,-0.06938444249546297,-0.011448019914790393,1.0,-1.0,-1.0
2.0,2283,340.0,31,4.6806451274502665,2.167741943751612,-2.825806468965546,-0.016129017116562,3.181019428333302,-51.0471335942584,-0.10254429064425971,-0.029106383012082307,1.0,-1.0,-1.0
2.0,2283,350.0,33,4.033333337668217,2.0272727276791227,-1.6636363656231852,0.4787878886316762,2.530981859436939,-39.90922893345603,-0.08381867744392475,-0.016007513891050745,1.0,-1.0,-1.0
2.0,2284,0.0,12,3.375,0.31666665089627105,0.5749999831120173,-1.2333333510905504,2.00194350600585,70.74141708101165,-0.22061489533496534,-0.14856458147542198,1.0,-1.0,-1.0
2.0,2284,10.0,3,3.0,1.7666667302449544,-0.4999999801317851,0.0,1.4036315484837347,-15.406290847868041,-0.1668539033581304,-0.1209558045948767,1.0,-1.0,-1.0
2.0,2284,20.0,2,23.300000190734863,0.3500000238418579,12.699999570846558,1.2000000476837158,14.64833082300101,71.02534982331301,0.1263348516147617,0.047663533785967105,1.0,1.0,1.0
2.0,2284,30.0,16,40.42500019073486,11.12500000745058,3.981249988079072,-18.899999976158142,31.12590657140979,-0.115048316242774,0.34326684880514235,0.17808459375515392,1.0,1.0,1.0
