cr,x,y,method,r,n
2287,pfss_midlat_abs_mean,bmag_mean,spearman,0.09806949806949808,36
2287,pfss_midlat_abs_mean,density_mean,pearson,-0.11553252938601233,36
2287,pfss_midlat_abs_mean,density_mean,spearman,0.11969111969111969,36
2287,pfss_midlat_abs_mean,pdyn_mean,pearson,-0.08202242581546651,36
2287,pfss_midlat_abs_mean,pdyn_mean,spearman,0.15032175032175035,36
2287,pfss_midlat_abs_mean,ma_mean,pearson,0.06905926145968817,36
2287,pfss_midlat_abs_mean,ma_mean,spearman,0.055598455598455596,36
2287,pfss_global_abs_mean,speed_mean,pearson,0.1405092005754129,36
2287,pfss_global_abs_mean,speed_mean,spearman,0.1824967824967825,36
2287,pfss_global_abs_mean,bmag_mean,pearson,0.03866666601836605,36
2287,pfss_global_abs_mean,bmag_mean,spearman,0.09549549549549549,36
2287,pfss_global_abs_mean,density_mean,pearson,-0.1119525989147199,36
2287,pfss_global_abs_mean,density_mean,spearman,0.15444015444015446,36
2287,pfss_global_abs_mean,pdyn_mean,pearson,-0.09290985464695205,36
2287,pfss_global_abs_mean,pdyn_mean,spearman,0.18326898326898328,36
2287,pfss_global_abs_mean,ma_mean,pearson,0.14241532240199078,36
2287,pfss_global_abs_mean,ma_mean,spearman,0.07722007722007723,36
2290,pfss_equator_abs_mean,speed_mean,pearson,0.11730120156359074,36
2290,pfss_equator_abs_mean,speed_mean,spearman,0.16138996138996142,36
2290,pfss_equator_abs_mean,bmag_mean,pearson,-0.1707710101619314,36
2290,pfss_equator_abs_mean,bmag_mean,spearman,-0.18584298584298584,36
2290,pfss_equator_abs_mean,density_mean,pearson,-0.1614272485754551,36
2290,pfss_equator_abs_mean,density_mean,spearman,-0.13976833976833977,36
2290,pfss_equator_abs_mean,pdyn_mean,pearson,-0.08850708596865689,36
2290,pfss_equator_abs_mean,pdyn_mean,spearman,-0.06975546975546977,36
2290,pfss_equator_abs_mean,ma_mean,pearson,0.1579056110330406,36
2290,pfss_equator_abs_mean,ma_mean,spearman,0.18172458172458172,36
2290,pfss_midlat_abs_mean,speed_mean,pearson,0.06758321002064677,36
2290,pfss_midlat_abs_mean,speed_mean,spearman,0.11737451737451739,36
2290,pfss_midlat_abs_mean,bmag_mean,pearson,-0.19455798634092653,36
2290,pfss_midlat_abs_mean,bmag_mean,spearman,-0.20437580437580435,36
2290,pfss_midlat_abs_mean,density_mean,pearson,-0.13315798872010068,36
2290,pfss_midlat_abs_mean,density_mean,spearman,-0.08082368082368084,36
2290,pfss_midlat_abs_mean,pdyn_mean,pearson,-0.08041710768863786,36
2290,pfss_midlat_abs_mean,pdyn_mean,spearman,-0.024453024453024455,36
2290,pfss_midlat_abs_mean,ma_mean,pearson,0.18189535549307523,36
2290,pfss_midlat_abs_mean,ma_mean,spearman,0.22110682110682112,36
2290,pfss_global_abs_mean,speed_mean,pearson,-0.05354296910580243,36
2290,pfss_global_abs_mean,speed_mean,spearman,0.031402831402831406,36
2290,pfss_global_abs_mean,bmag_mean,pearson,-0.22269532874367193,36
2290,pfss_global_abs_mean,bmag_mean,spearman,-0.2084942084942085,36
2290,pfss_global_abs_mean,density_mean,pearson,-0.029057701373202873,36
2290,pfss_global_abs_mean,density_mean,spearman,0.03500643500643501,36
2290,pfss_global_abs_mean,pdyn_mean,pearson,-0.023582480059515503,36
2290,pfss_global_abs_mean,pdyn_mean,spearman,0.0658944658944659,36
2290,pfss_global_abs_mean,ma_mean,pearson,0.24870339981316372,36
2290,pfss_global_abs_mean,ma_mean,spearman,0.27850707850707856,36
