cr,x,y,method,r,n
2286,pfss_equator_abs_mean,density_mean,spearman,0.322007722007722,36
2286,pfss_equator_abs_mean,pdyn_mean,pearson,0.5215106871722216,36
2286,pfss_equator_abs_mean,pdyn_mean,spearman,0.5232947232947233,36
2286,pfss_equator_abs_mean,ma_mean,pearson,-0.38713577489233314,36
2286,pfss_equator_abs_mean,ma_mean,spearman,-0.29961389961389956,36
2286,pfss_midlat_abs_mean,speed_mean,pearson,0.021929150890198392,36
2286,pfss_midlat_abs_mean,speed_mean,spearman,-0.0538001159489756,36
2286,pfss_midlat_abs_mean,bmag_mean,pearson,0.535658429004174,36
2286,pfss_midlat_abs_mean,bmag_mean,spearman,0.5343629343629344,36
2286,pfss_midlat_abs_mean,density_mean,pearson,0.4521821099119107,36
2286,pfss_midlat_abs_mean,density_mean,spearman,0.35727155727155735,36
2286,pfss_midlat_abs_mean,pdyn_mean,pearson,0.4778644096385543,36
2286,pfss_midlat_abs_mean,pdyn_mean,spearman,0.5122265122265123,36
2286,pfss_midlat_abs_mean,ma_mean,pearson,-0.3359842297384383,36
2286,pfss_midlat_abs_mean,ma_mean,spearman,-0.26126126126126126,36
2286,pfss_global_abs_mean,speed_mean,pearson,-0.21565346597783108,36
2286,pfss_global_abs_mean,speed_mean,spearman,-0.38844198548805825,36
2286,pfss_global_abs_mean,bmag_mean,pearson,0.4314559481699216,36
2286,pfss_global_abs_mean,bmag_mean,spearman,0.40720720720720727,36
2286,pfss_global_abs_mean,density_mean,pearson,0.4330362963674373,36
2286,pfss_global_abs_mean,density_mean,spearman,0.41441441441441446,36
2286,pfss_global_abs_mean,pdyn_mean,pearson,0.33220075688981476,36
2286,pfss_global_abs_mean,pdyn_mean,spearman,0.41184041184041187,36
2286,pfss_global_abs_mean,ma_mean,pearson,-0.2311530177852396,36
2286,pfss_global_abs_mean,ma_mean,spearman,-0.2272844272844273,36
2287,pfss_equator_abs_mean,speed_mean,pearson,0.0032157533916750687,34
2287,pfss_equator_abs_mean,speed_mean,spearman,0.11932773109243698,34
2287,pfss_equator_abs_mean,bmag_mean,pearson,0.14724547224247225,34
2287,pfss_equator_abs_mean,bmag_mean,spearman,0.21833460656990067,34
2287,pfss_equator_abs_mean,density_mean,pearson,-0.002514079178709018,34
2287,pfss_equator_abs_mean,density_mean,spearman,0.048128342245989296,34
2287,pfss_equator_abs_mean,pdyn_mean,pearson,-0.004340310528749928,34
2287,pfss_equator_abs_mean,pdyn_mean,spearman,0.08754774637127577,34
2287,pfss_equator_abs_mean,ma_mean,pearson,-0.2673008649730698,34
2287,pfss_equator_abs_mean,ma_mean,spearman,-0.39067990832696714,34
2287,pfss_midlat_abs_mean,speed_mean,pearson,-0.08712045303910383,34
2287,pfss_midlat_abs_mean,speed_mean,spearman,0.016959511077158134,34
2287,pfss_midlat_abs_mean,bmag_mean,pearson,0.0606781593488823,34
2287,pfss_midlat_abs_mean,bmag_mean,spearman,0.09885408708938119,34
2287,pfss_midlat_abs_mean,density_mean,pearson,-0.08628446783013191,34
2287,pfss_midlat_abs_mean,density_mean,spearman,-0.03284950343773873,34
2287,pfss_midlat_abs_mean,pdyn_mean,pearson,-0.09917196474291602,34
2287,pfss_midlat_abs_mean,pdyn_mean,spearman,-0.03621084797555385,34
2287,pfss_midlat_abs_mean,ma_mean,pearson,-0.2980901509126673,34
2287,pfss_midlat_abs_mean,ma_mean,spearman,-0.37876241405653166,34
2287,pfss_global_abs_mean,speed_mean,pearson,-0.06987390833396229,34
2287,pfss_global_abs_mean,speed_mean,spearman,-0.007181054239877769,34
2287,pfss_global_abs_mean,bmag_mean,pearson,-0.006053420991222706,34
2287,pfss_global_abs_mean,bmag_mean,spearman,-0.05332314744079449,34
2287,pfss_global_abs_mean,density_mean,pearson,-0.1809089599375082,34
2287,pfss_global_abs_mean,density_mean,spearman,-0.2617265087853323,34
2287,pfss_global_abs_mean,pdyn_mean,pearson,-0.1498158844794642,34
2287,pfss_global_abs_mean,pdyn_mean,spearman,-0.2608097784568372,34
2287,pfss_global_abs_mean,ma_mean,pearson,-0.3409471393225952,34
2287,pfss_global_abs_mean,ma_mean,spearman,-0.36562261268143614,34
2290,pfss_equator_abs_mean,speed_mean,pearson,-0.23137862634881654,36
2290,pfss_equator_abs_mean,speed_mean,spearman,-0.20514800514800519,36
