sample,rss,cr,x,y,method,r,n,abs_r,null_p_two_sided_abs,null_abs_percentile,null_abs_p95
final_with_cr2284,2.5,all,pfss_midlat_abs_mean,ma_mean,spearman,-0.12207578423202362,180,0.12207578423202362,0.20889555222388806,79.14999999999999,0.18364013292591333
final_with_cr2284,2.5,all,pfss_global_abs_mean,speed_mean,pearson,-0.026302785272328304,180,0.026302785272328304,0.7816091954022989,21.85,0.1855563544409616
final_with_cr2284,2.5,all,pfss_global_abs_mean,speed_mean,spearman,-0.14538735288890364,180,0.14538735288890364,0.2433783108445777,75.7,0.22261677069959482
final_with_cr2284,2.5,all,pfss_global_abs_mean,bmag_mean,pearson,0.2061238729741023,180,0.2061238729741023,0.022988505747126436,97.75,0.1802395346484423
final_with_cr2284,2.5,all,pfss_global_abs_mean,bmag_mean,spearman,0.23645700816746867,180,0.23645700816746867,0.017991004497751123,98.25,0.19804957871623077
final_with_cr2284,2.5,all,pfss_global_abs_mean,density_mean,pearson,0.18192699867752773,180,0.18192699867752773,0.13843078460769614,86.2,0.22967113629172717
final_with_cr2284,2.5,all,pfss_global_abs_mean,density_mean,spearman,0.21868370422955438,180,0.21868370422955438,0.08945527236381809,91.10000000000001,0.24939884975873738
final_with_cr2284,2.5,all,pfss_global_abs_mean,pdyn_mean,pearson,0.0818791797045357,180,0.0818791797045357,0.34132933533233384,65.9,0.1538153301080844
final_with_cr2284,2.5,all,pfss_global_abs_mean,pdyn_mean,spearman,0.1747234996964927,180,0.1747234996964927,0.15642178910544727,84.39999999999999,0.23181209296583227
final_with_cr2284,2.5,all,pfss_global_abs_mean,ma_mean,pearson,-0.1143968036572418,180,0.1143968036572418,0.2518740629685157,74.85000000000001,0.19170729710773182
final_with_cr2284,2.5,all,pfss_global_abs_mean,ma_mean,spearman,-0.14609092873236829,180,0.14609092873236829,0.16891554222888555,83.15,0.20127894893875323
ambient_without_cr2284,2.5,all,pfss_equator_abs_mean,speed_mean,pearson,-0.02034773034744953,144,0.02034773034744953,0.9295352323838081,7.049999999999999,0.3234592063808865
ambient_without_cr2284,2.5,all,pfss_equator_abs_mean,speed_mean,spearman,-0.026892988692660786,144,0.026892988692660786,0.8580709645177411,14.2,0.2624752079323841
ambient_without_cr2284,2.5,all,pfss_equator_abs_mean,bmag_mean,pearson,0.2952437873956218,144,0.2952437873956218,0.013493253373313344,98.7,0.23765644815508402
ambient_without_cr2284,2.5,all,pfss_equator_abs_mean,bmag_mean,spearman,0.3135080716062104,144,0.3135080716062104,0.0069965017491254375,99.35000000000001,0.23707462932516318
ambient_without_cr2284,2.5,all,pfss_equator_abs_mean,density_mean,pearson,0.2560844838001023,144,0.2560844838001023,0.057971014492753624,94.25,0.2619080175999662
ambient_without_cr2284,2.5,all,pfss_equator_abs_mean,density_mean,spearman,0.32419017763845354,144,0.32419017763845354,0.017491254372813594,98.3,0.2755787316132144
ambient_without_cr2284,2.5,all,pfss_equator_abs_mean,pdyn_mean,pearson,0.30452902728198467,144,0.30452902728198467,0.03398300849575212,96.65,0.2871323599348451
ambient_without_cr2284,2.5,all,pfss_equator_abs_mean,pdyn_mean,spearman,0.31809741982155776,144,0.31809741982155776,0.017991004497751123,98.25,0.27757133670926776
ambient_without_cr2284,2.5,all,pfss_equator_abs_mean,ma_mean,pearson,-0.06666875442375204,144,0.06666875442375204,0.559720139930035,44.05,0.2027521087253074
ambient_without_cr2284,2.5,all,pfss_equator_abs_mean,ma_mean,spearman,-0.13525440077164214,144,0.13525440077164214,0.20239880059970014,79.80000000000001,0.200766819387509
ambient_without_cr2284,2.5,all,pfss_midlat_abs_mean,speed_mean,pearson,-0.055631561497882,144,0.055631561497882,0.7891054472763618,21.099999999999998,0.3139216776294992
ambient_without_cr2284,2.5,all,pfss_midlat_abs_mean,speed_mean,spearman,-0.07815906711507445,144,0.07815906711507445,0.6116941529235382,38.85,0.26382367539574886
ambient_without_cr2284,2.5,all,pfss_midlat_abs_mean,bmag_mean,pearson,0.28891029245450944,144,0.28891029245450944,0.014992503748125937,98.55000000000001,0.2380547864938036
ambient_without_cr2284,2.5,all,pfss_midlat_abs_mean,bmag_mean,spearman,0.2833316085239841,144,0.2833316085239841,0.01649175412293853,98.4,0.2369519501568093
ambient_without_cr2284,2.5,all,pfss_midlat_abs_mean,density_mean,pearson,0.2609050790830649,144,0.2609050790830649,0.05897051474262868,94.15,0.2665909521305709
ambient_without_cr2284,2.5,all,pfss_midlat_abs_mean,density_mean,spearman,0.32588618278273457,144,0.32588618278273457,0.02498750624687656,97.55,0.28205128205128205
ambient_without_cr2284,2.5,all,pfss_midlat_abs_mean,pdyn_mean,pearson,0.2927370869684454,144,0.2927370869684454,0.046476761619190406,95.39999999999999,0.28852789333610096
