sample,rss,cr,x,y,method,r,n,abs_r
final_with_cr2284,2.0,2284,pfss_midlat_abs_mean,density_mean,pearson,-0.033095458753340454,36,0.033095458753340454
final_with_cr2284,2.0,2284,pfss_midlat_abs_mean,density_mean,spearman,-0.11016731016731017,36,0.11016731016731017
final_with_cr2284,2.0,2284,pfss_midlat_abs_mean,pdyn_mean,pearson,0.20951164207431971,36,0.20951164207431971
final_with_cr2284,2.0,2284,pfss_midlat_abs_mean,pdyn_mean,spearman,0.033204633204633204,36,0.033204633204633204
final_with_cr2284,2.0,2284,pfss_midlat_abs_mean,ma_mean,pearson,-0.04007036285650342,36,0.04007036285650342
final_with_cr2284,2.0,2284,pfss_midlat_abs_mean,ma_mean,spearman,-0.11274131274131274,36,0.11274131274131274
final_with_cr2284,2.0,2284,pfss_global_abs_mean,speed_mean,pearson,0.23371884075175967,36,0.23371884075175967
final_with_cr2284,2.0,2284,pfss_global_abs_mean,speed_mean,spearman,-0.13848133848133848,36,0.13848133848133848
final_with_cr2284,2.0,2284,pfss_global_abs_mean,bmag_mean,pearson,0.049330956759271606,36,0.049330956759271606
final_with_cr2284,2.0,2284,pfss_global_abs_mean,bmag_mean,spearman,0.17657657657657658,36,0.17657657657657658
final_with_cr2284,2.0,2284,pfss_global_abs_mean,density_mean,pearson,-0.20006835055930525,36,0.20006835055930525
final_with_cr2284,2.0,2284,pfss_global_abs_mean,density_mean,spearman,-0.164993564993565,36,0.164993564993565
final_with_cr2284,2.0,2284,pfss_global_abs_mean,pdyn_mean,pearson,-0.025351774425195282,36,0.025351774425195282
final_with_cr2284,2.0,2284,pfss_global_abs_mean,pdyn_mean,spearman,-0.08622908622908623,36,0.08622908622908623
final_with_cr2284,2.0,2284,pfss_global_abs_mean,ma_mean,pearson,-0.15780480297650157,36,0.15780480297650157
final_with_cr2284,2.0,2284,pfss_global_abs_mean,ma_mean,spearman,-0.22187902187902186,36,0.22187902187902186
final_with_cr2284,2.0,2286,pfss_equator_abs_mean,speed_mean,pearson,0.17579842016951655,36,0.17579842016951655
final_with_cr2284,2.0,2286,pfss_equator_abs_mean,speed_mean,spearman,0.14453954595861146,36,0.14453954595861146
final_with_cr2284,2.0,2286,pfss_equator_abs_mean,bmag_mean,pearson,0.5745188169593913,36,0.5745188169593913
final_with_cr2284,2.0,2286,pfss_equator_abs_mean,bmag_mean,spearman,0.5788931788931789,36,0.5788931788931789
final_with_cr2284,2.0,2286,pfss_equator_abs_mean,density_mean,pearson,0.4183756694647769,36,0.4183756694647769
final_with_cr2284,2.0,2286,pfss_equator_abs_mean,density_mean,spearman,0.322007722007722,36,0.322007722007722
final_with_cr2284,2.0,2286,pfss_equator_abs_mean,pdyn_mean,pearson,0.5215106871722216,36,0.5215106871722216
final_with_cr2284,2.0,2286,pfss_equator_abs_mean,pdyn_mean,spearman,0.5232947232947233,36,0.5232947232947233
final_with_cr2284,2.0,2286,pfss_equator_abs_mean,ma_mean,pearson,-0.38713577489233314,36,0.38713577489233314
final_with_cr2284,2.0,2286,pfss_equator_abs_mean,ma_mean,spearman,-0.29961389961389956,36,0.29961389961389956
final_with_cr2284,2.0,2286,pfss_midlat_abs_mean,speed_mean,pearson,0.021929150890198392,36,0.021929150890198392
final_with_cr2284,2.0,2286,pfss_midlat_abs_mean,speed_mean,spearman,-0.0538001159489756,36,0.0538001159489756
final_with_cr2284,2.0,2286,pfss_midlat_abs_mean,bmag_mean,pearson,0.535658429004174,36,0.535658429004174
final_with_cr2284,2.0,2286,pfss_midlat_abs_mean,bmag_mean,spearman,0.5343629343629344,36,0.5343629343629344
